datetime,solar,clear_sky_solar,wind50,cloud,temp,solar_ratio,solar_effective,solar_eff_norm,wind_norm,clear_ratio_norm,renewable_index
2025-07-27 16:00:00,432.05,433.62,3.81,1.5,30.98,0.9963793182971266,425.56925,0.43810592620899197,0.2023366967604886,0.9373521074975337,0.46722439363214935
2025-07-27 17:00:00,251.55,252.65,3.64,1.5,30.34,0.9956461508015041,247.77675000000002,0.2550759072743246,0.19330855018587362,0.9366623740952539,0.37286299351197516
2025-07-27 18:00:00,87.2,87.57,3.5,1.5,28.23,0.9957748087244491,85.892,0.08842225845486425,0.1858736059479554,0.9367834101033325,0.28732989303248524
2025-07-27 19:00:00,3.33,3.33,3.53,1.5,26.31,1.0,3.28005,0.003376675695581399,0.18746680828465215,0.9407582938388626,0.24608003910095885
2025-07-28 05:00:00,47.35,56.25,3.79,61.84,23.09,0.8417777777777778,18.068759999999997,0.01860104045404593,0.20127456186935744,0.7919094260136915,0.22806477399056851
2025-07-28 06:00:00,178.05,200.55,4.17,27.73,24.36,0.8878085265519821,128.676735,0.13246737204044703,0.22145512480084972,0.8352132346946372,0.29971287039940586
2025-07-28 07:00:00,358.98,381.62,2.89,15.59,25.31,0.9406739688695561,303.015018,0.3119414175627689,0.15347849176845463,0.884946838012355,0.3790036239143918
2025-07-28 08:00:00,555.85,558.1,1.61,3.76,27.51,0.9959684644328973,534.9500400000001,0.5507089216378706,0.08550185873605949,0.9369655933172044,0.488398137103194
2025-07-28 09:00:00,707.3,708.67,1.42,2.26,29.24,0.9980668011909634,691.31502,0.7116801957361529,0.07541157727031333,0.938939621025622,0.5662514952542949
2025-07-28 10:00:00,820.72,821.05,2.11,0.75,30.35,0.9995980756348579,814.5646,0.8385605363640749,0.11205523101433883,0.9403801801588593,0.6409728735181109
2025-07-28 11:00:00,879.12,879.47,2.25,0.75,31.13,0.999602033042628,872.5266,0.8982300159961808,0.11949017525225705,0.940383903123041,0.6730388411983756
2025-07-28 12:00:00,884.62,884.62,2.08,0.0,31.68,1.0,884.62,0.9106796706834398,0.11046202867764207,0.9407582938388626,0.676630102712785
2025-07-28 13:00:00,840.35,840.67,1.87,0.75,32.03,0.9996193512317557,834.0473750000001,0.858617246726716,0.09930961232076475,0.9404001953530973,0.6471815461302068
2025-07-28 14:00:00,742.83,743.25,1.36,0.75,32.17,0.9994349142280525,737.2587750000001,0.7589773896424187,0.07222517259691982,0.9402266847121726,0.5892015835427198
2025-07-28 15:00:00,603.4,603.83,1.1,0.75,32.03,0.9992878790388022,598.8745,0.6165165070207657,0.05841741901221456,0.9400883601383992,0.5138011512417271
2025-07-28 16:00:00,429.5,434.12,1.19,12.56,31.85,0.9893577812586382,375.5548,0.3866181203088163,0.06319702602230484,0.9307465382930791,0.3984174756197154
2025-07-28 17:00:00,246.73,253.07,1.34,22.98,31.37,0.9749476429446398,190.031446,0.19562950720397218,0.07116303770578865,0.9171900811588198,0.3026016811454867
2025-07-28 18:00:00,89.32,93.38,1.97,33.58,29.27,0.9565217391304348,59.326344,0.0610740153023586,0.10462028677642062,0.8998557593241294,0.24189424554893138
2025-07-29 05:00:00,38.65,51.5,3.54,80.44,23.16,0.7504854368932039,7.559939999999999,0.007782645282252904,0.18799787573021776,0.7060253991625639,0.20149576519270457
2025-07-29 06:00:00,144.7,192.4,2.84,66.28,24.38,0.752079002079002,48.79283999999999,0.05023020897437291,0.15082315454062667,0.7075245588278763,0.21186696261494975
2025-07-29 07:00:00,294.77,369.5,2.52,56.92,25.6,0.7977537212449255,126.98691599999998,0.1307277733309055,0.1338289962825279,0.7504934297019797,0.2556112714906071
2025-07-29 08:00:00,432.6,550.88,2.36,48.41,26.88,0.7852889921580017,223.17834000000002,0.2297528624436219,0.1253319171534785,0.7387671324330016,0.3002294328544548
2025-07-29 09:00:00,654.08,698.65,2.33,30.85,28.14,0.9362055392542762,452.29632000000004,0.4656203383926791,0.12373871481678175,0.8807431257913452,0.44608040879964306
2025-07-29 10:00:00,799.47,809.35,2.2,15.44,29.09,0.9877926731327609,676.031832,0.6959467863458689,0.11683483802442912,0.9292741498429054,0.5688786745488442
